docid,lang
test0264,en
test0265,en
test0266,ur
test0267,zh
test0268,ru
test0269,fa
test0270,nl
test0271,es
test0272,es
test0273,mr
test0274,unk
test0275,en
test0276,bg
test0277,fa
test0278,hi
test0279,unk
test0280,unk
test0281,de
test0282,en
test0283,hi
test0284,bg
test0285,de
test0286,unk
test0287,ru
test0288,fr
test0289,ar
test0290,ja
test0291,de
test0292,ar
test0293,de
test0294,unk
test0295,fa
test0296,nl
test0297,it
test0298,ru
test0299,ru
test0300,es
test0301,bg
test0302,unk
test0303,ur
test0304,th
test0305,fr
test0306,unk
test0307,fa
test0308,de
test0309,es
test0310,bg
test0311,de
test0312,unk
test0313,en
test0314,es
test0315,unk
test0316,ru
test0317,ja
test0318,unk
test0319,bg
test0320,ur
test0321,unk
test0322,es
test0323,bg
test0324,fr
test0325,en
test0326,unk
test0327,ar
test0328,ar
test0329,unk
test0330,en
test0331,ar
test0332,ar
test0333,en
test0334,ja
test0335,ar
test0336,fr
test0337,it
test0338,en
test0339,de
test0340,en
test0341,it
test0342,it
test0343,ru
test0344,ur
test0345,unk
test0346,fr
test0347,ko
test0348,ru
test0349,hi
test0350,uk
test0351,fa
test0352,nl
test0353,unk
test0354,ru
test0355,fa
test0356,nl
test0357,en
test0358,en
test0359,unk
test0360,en
test0361,de
test0362,uk
test0363,mr
test0364,ur
test0365,uk
test0366,mr
test0367,en
test0368,ar
test0369,es
test0370,unk
test0371,en
test0372,fa
test0373,ne
test0374,fa
test0375,ne
test0376,mr
test0377,es
test0378,unk
test0379,fr
test0380,ko
test0381,es
test0382,en
test0383,unk
test0384,unk
test0385,ne
test0386,bg
test0387,ne
test0388,ja
test0389,en
test0390,es
test0391,fa
test0392,ja
test0393,de
test0394,hi
test0395,it
test0396,unk
test0397,en
test0398,ar
test0399,th
test0400,it
test0401,ne
test0402,fr
test0403,de
test0404,de
test0405,en
test0406,hi
test0407,fa
test0408,es
test0409,ru
test0410,it
test0411,es
test0412,ru
test0413,unk
test0414,fa
test0415,ja
test0416,nl
test0417,hi
test0418,nl
test0419,unk
test0420,en
test0421,nl
test0422,unk
test0423,en
test0424,zh
test0425,fr
test0426,he
test0427,fa
test0428,unk
test0429,es
test0430,en
test0431,hi
test0432,en
test0433,ja
test0434,ru
test0435,th
test0436,hi
test0437,ar
test0438,unk
test0439,ur
test0440,de
test0441,unk
test0442,es
test0443,unk
test0444,fr
test0445,unk
test0446,it
test0447,ja
test0448,bg
test0449,unk
test0450,en
test0451,ar
test0452,fr
test0453,fa
test0454,es
test0455,de
test0456,fr
test0457,unk
test0458,fr
test0459,ja
test0460,hi
test0461,fa
test0462,it
test0463,unk
test0464,unk
test0465,ne
test0466,it
test0467,unk
test0468,uk
test0469,en
test0470,es
test0471,fa
test0472,it
test0473,nl
test0474,fa
test0475,bg
test0476,unk
test0477,ur
test0478,it
test0479,unk
test0480,ko
test0481,ar
test0482,ru
test0483,unk
test0484,unk
test0485,en
test0486,en
test0487,ur
test0488,unk
test0489,th
test0490,th
test0491,nl
test0492,unk
test0493,mr
test0494,unk
test0495,en
test0496,unk
test0497,unk
test0498,fr
test0499,es
test0500,nl
test0501,unk
test0502,fa
test0503,it
test0504,en
test0505,fr
test0506,ne
test0507,ja
test0508,ja
test0509,en
test0510,unk
test0511,ru
test0512,ar
test0513,ur
test0514,fr
test0515,unk
test0516,de
test0517,mr
test0518,es
test0519,ur
test0520,it
test0521,ne
test0522,th
test0523,unk
test0524,fa
test0525,unk
test0526,nl
test0527,es
test0528,de
test0529,fa
test0530,ru
test0531,ur
test0532,de
test0533,ur
test0534,en
test0535,ja
test0536,it
test0537,de
test0538,ar
test0539,fa
test0540,es
test0541,ko
test0542,uk
test0543,zh
test0544,fr
test0545,es
test0546,mr
test0547,ne
test0548,en
test0549,fr
test0550,en
test0551,ru
test0552,unk
test0553,mr
test0554,unk
test0555,hi
test0556,hi
test0557,it
test0558,ja
test0559,es
test0560,nl
test0561,de
test0562,ar
test0563,nl
test0564,fr
test0565,en
test0566,es
test0567,bg
test0568,nl
test0569,unk
test0570,en
test0571,fa
test0572,en
test0573,th
test0574,fa
test0575,fa
test0576,ar
test0577,hi
test0578,en
test0579,nl
test0580,hi
test0581,en
test0582,hi
test0583,es
test0584,unk
test0585,es
test0586,fa
test0587,it
test0588,mr
test0589,en
test0590,ar
test0591,nl
test0592,ar
test0593,ar
test0594,ko
test0595,de
test0596,es
test0597,en
test0598,ru
test0599,de
test0600,de
test0601,unk
test0602,es
test0603,en
test0604,fr
test0605,fa
test0606,mr
test0607,ru
test0608,ur
test0609,ko
test0610,de
test0611,en
test0612,ru
test0613,th
test0614,mr
test0615,he
test0616,en
test0617,fa
test0618,hi
test0619,en
test0620,fr
test0621,it
test0622,en
test0623,fr
test0624,mr
test0625,bg
test0626,unk
test0627,unk
test0628,unk
test0629,fr
test0630,unk
test0631,es
test0632,de
test0633,en
test0634,th
test0635,unk
test0636,unk
test0637,en
test0638,fr
test0639,uk
test0640,en
test0641,hi
test0642,ja
test0643,en
test0644,ru
test0645,ne
test0646,es
test0647,mr
test0648,fr
test0649,uk
test0650,ru
test0651,th
test0652,mr
test0653,en
test0654,uk
test0655,unk
test0656,unk
test0657,bg
test0658,nl
test0659,unk
test0660,nl
test0661,ru
test0662,en
test0663,ne
test0664,en
test0665,fa
test0666,it
test0667,de
test0668,unk
test0669,unk
test0670,en
test0671,en
test0672,fa
test0673,en
test0674,en
test0675,en
test0676,en
test0677,en
test0678,hi
test0679,ur
test0680,unk
test0681,ar
test0682,de
test0683,bg
test0684,it
test0685,es
test0686,unk
test0687,es
test0688,ru
test0689,zh
test0690,nl
test0691,he
test0692,nl
test0693,es
test0694,de
test0695,unk
test0696,unk
test0697,mr
test0698,th
test0699,nl
test0700,ru
test0701,nl
test0702,bg
test0703,de
test0704,es
test0705,ne
test0706,fr
test0707,ar
test0708,ja
test0709,unk
test0710,fr
test0711,unk
test0712,ar
test0713,ur
test0714,it
test0715,bg
test0716,ja
test0717,ne
test0718,ar
test0719,ne
test0720,fa
test0721,bg
test0722,fa
test0723,de
test0724,th
test0725,unk
test0726,nl
test0727,unk
test0728,ru
test0729,he
test0730,ar
test0731,nl
test0732,fr
test0733,es
test0734,en
test0735,en
test0736,ru
test0737,ko
test0738,it
test0739,fa
test0740,nl
test0741,fr
test0742,bg
test0743,it
test0744,unk
test0745,fa
test0746,en
test0747,de
test0748,he
test0749,he
test0750,nl
test0751,fa
test0752,es
test0753,en
test0754,fr
test0755,bg
test0756,de
test0757,ja
test0758,ja
test0759,unk
test0760,unk
test0761,unk
test0762,nl
test0763,bg
test0764,ru
test0765,fr
test0766,fa
test0767,fr
test0768,nl
test0769,unk
test0770,en
test0771,hi
test0772,unk
test0773,en
test0774,hi
test0775,ur
test0776,en
test0777,de
test0778,de
test0779,ko
test0780,fr
test0781,en
test0782,fr
test0783,mr
test0784,de
test0785,unk
test0786,th
test0787,unk
test0788,it
test0789,ar
test0790,en
test0791,de
test0792,unk
test0793,nl
test0794,it
test0795,unk
test0796,unk
test0797,en
test0798,he
test0799,nl
test0800,fr
test0801,fa
test0802,ne
test0803,zh
test0804,ne
test0805,fa
test0806,it
test0807,bg
test0808,fa
test0809,it
test0810,ne
test0811,ja
test0812,en
test0813,bg
test0814,uk
test0815,unk
test0816,hi
test0817,en
test0818,en
test0819,de
test0820,unk
test0821,it
test0822,es
test0823,unk
test0824,ja
test0825,en
test0826,fa
test0827,unk
test0828,th
test0829,he
test0830,ru
test0831,fa
test0832,hi
test0833,en
test0834,ja
test0835,unk
test0836,de
test0837,es
test0838,fr
test0839,ru
test0840,fa
test0841,fr
test0842,fr
test0843,th
test0844,ne
test0845,unk
test0846,de
test0847,bg
test0848,ru
test0849,de
test0850,nl
test0851,nl
test0852,en
test0853,fa
test0854,de
test0855,unk
test0856,nl
test0857,fa
test0858,unk
test0859,unk
test0860,de
test0861,unk
test0862,fr
test0863,nl
test0864,he
test0865,fa
test0866,zh
test0867,ne
test0868,it
test0869,de
test0870,ja
test0871,de
test0872,ja
test0873,de
test0874,bg
test0875,ar
test0876,unk
test0877,unk
test0878,unk
test0879,ja
test0880,fa
test0881,uk
test0882,fa
test0883,ar
test0884,hi
test0885,zh
test0886,de
test0887,bg
test0888,de
test0889,bg
test0890,ur
test0891,en
test0892,he
test0893,es
test0894,unk
test0895,es
test0896,en
test0897,nl
test0898,ja
test0899,unk
test0900,nl
test0901,ar
test0902,en
test0903,de
test0904,en
test0905,he
test0906,ne
test0907,fr
test0908,en
test0909,de
test0910,fr
test0911,unk
test0912,de
test0913,es
test0914,ja
test0915,es
test0916,ru
test0917,es
test0918,it
test0919,zh
test0920,unk
test0921,it
test0922,unk
test0923,ru
test0924,ar
test0925,de
test0926,hi
test0927,ur
test0928,unk
test0929,de
test0930,mr
test0931,de
test0932,unk
test0933,en
test0934,unk
test0935,es
test0936,en
test0937,mr
test0938,unk
test0939,ja
test0940,fa
test0941,unk
test0942,unk
test0943,bg
test0944,it
test0945,es
test0946,es
test0947,unk
test0948,fr
test0949,unk
test0950,en
test0951,unk
test0952,fa
test0953,es
test0954,ne
test0955,en
test0956,ur
test0957,nl
test0958,en
test0959,fa
test0960,en
test0961,hi
test0962,en
test0963,unk
test0964,unk
test0965,en
test0966,de
test0967,nl
test0968,ar
test0969,unk
test0970,en
test0971,fr
test0972,ar
test0973,fr
test0974,unk
test0975,unk
test0976,en
test0977,unk
test0978,fa
test0979,unk
test0980,ne
test0981,mr
test0982,unk
test0983,ko
test0984,de
test0985,ur
test0986,de
test0987,es
test0988,unk
test0989,en
test0990,fa
test0991,bg
test0992,unk
test0993,ar
test0994,fr
test0995,unk
test0996,fr
test0997,unk
test0998,ru
test0999,en
test1000,ru
test1001,de
test1002,zh
test1003,ur
test1004,nl
test1005,nl
test1006,mr
test1007,unk
test1008,ur
test1009,en
test1010,bg
test1011,es
test1012,unk
test1013,es
test1014,it
test1015,it
test1016,en
test1017,en
test1018,ja
test1019,hi
test1020,unk
test1021,ru
test1022,en
test1023,mr
test1024,es
test1025,unk
test1026,unk
test1027,en
test1028,nl
test1029,fr
test1030,unk
test1031,unk
test1032,en
test1033,de
test1034,fr
test1035,nl
test1036,fa
test1037,en
test1038,de
test1039,ru
test1040,bg
test1041,en
test1042,en
test1043,fa
test1044,ne
test1045,fr
test1046,fr
test1047,unk
test1048,en
test1049,unk
test1050,ar
test1051,ru
test1052,bg
test1053,es
test1054,de
test1055,ru
test1056,ru
test1057,ja
test1058,unk
test1059,unk
test1060,en
test1061,ur
test1062,en
test1063,en
test1064,bg
test1065,unk
test1066,unk
test1067,bg
test1068,ar
test1069,mr
test1070,fr
test1071,fr
test1072,es
test1073,unk
test1074,ne
test1075,unk
test1076,unk
test1077,fa
test1078,it
test1079,fr
test1080,ne
test1081,uk
test1082,ja
test1083,ja
test1084,ru
test1085,fr
test1086,unk
test1087,it
test1088,fa
test1089,de
test1090,he
test1091,nl
test1092,uk
test1093,bg
test1094,es
test1095,es
test1096,ar
test1097,es
test1098,unk
test1099,es
test1100,mr
test1101,fa
test1102,unk
test1103,ar
test1104,ur
test1105,mr
test1106,unk
test1107,unk
test1108,fa
test1109,hi
test1110,fa
test1111,en
test1112,unk
test1113,unk
test1114,de
test1115,unk
test1116,unk
test1117,fr
test1118,fr
test1119,de
test1120,bg
test1121,unk
test1122,nl
test1123,es
test1124,fa
test1125,ar
test1126,unk
test1127,fa
test1128,de
test1129,zh
test1130,unk
test1131,fr
test1132,bg
test1133,de
test1134,unk
test1135,ru
test1136,hi
test1137,unk
test1138,ja
test1139,ru
test1140,it
test1141,es
test1142,unk
test1143,fa
test1144,unk
test1145,fr
test1146,it
test1147,fa
test1148,ne
test1149,nl
test1150,fa
test1151,nl
test1152,it
test1153,nl
test1154,ko
test1155,fr
test1156,unk
test1157,fr
test1158,ar
test1159,unk
test1160,fr
test1161,it
test1162,es
test1163,unk
test1164,en
test1165,hi
test1166,unk
test1167,en
test1168,en
test1169,es
test1170,bg
test1171,he
test1172,nl
test1173,en
test1174,en
test1175,hi
test1176,ar
test1177,bg
test1178,ru
test1179,de
test1180,unk
test1181,it
test1182,ru
test1183,en
test1184,th
test1185,mr
test1186,mr
test1187,es
test1188,nl
test1189,ru
test1190,ur
test1191,mr
test1192,ru
test1193,nl
test1194,es
test1195,nl
test1196,ar
test1197,ar
test1198,ne
test1199,nl
test1200,es
test1201,en
test1202,unk
test1203,ar
test1204,es
test1205,zh
test1206,ko
test1207,en
test1208,unk
test1209,unk
test1210,fa
test1211,fr
test1212,bg
test1213,en
test1214,unk
test1215,ur
test1216,es
test1217,es
test1218,he
test1219,es
test1220,fa
test1221,ru
test1222,fr
test1223,ru
test1224,unk
test1225,unk
test1226,ne
test1227,fa
test1228,es
test1229,it
test1230,ja
test1231,fr
test1232,fr
test1233,fa
test1234,es
test1235,ur
test1236,ja
test1237,bg
test1238,it
test1239,hi
test1240,he
test1241,unk
test1242,ur
test1243,en
test1244,unk
test1245,ar
test1246,ko
test1247,unk
test1248,de
test1249,unk
test1250,unk
test1251,ar
test1252,en
test1253,de
test1254,fr
test1255,it
test1256,it
test1257,hi
test1258,en
test1259,es
test1260,en
test1261,es
test1262,it
test1263,unk
test1264,en
test1265,fa
test1266,unk
test1267,ar
test1268,fr
test1269,en
test1270,he
test1271,fa
test1272,unk
test1273,fa
test1274,ru
test1275,ne
test1276,ja
test1277,fa
test1278,ar
test1279,ar
test1280,it
test1281,unk
test1282,bg
test1283,it
test1284,mr
test1285,it
test1286,hi
test1287,uk
test1288,th
test1289,ar
test1290,en
test1291,unk
test1292,en
test1293,fa
test1294,fr
test1295,mr
test1296,unk
test1297,fa
test1298,it
test1299,unk
test1300,ja
test1301,fr
test1302,fr
test1303,unk
test1304,ja
test1305,nl
test1306,unk
test1307,en
test1308,th
test1309,ar
test1310,unk
test1311,unk
test1312,th
test1313,ru
test1314,nl
test1315,unk
test1316,fr
test1317,it
test1318,ja
test1319,ja
test1320,nl
test1321,unk
test1322,de
test1323,fr
test1324,fr
test1325,en
test1326,bg
test1327,es
test1328,it
test1329,fr
test1330,ja
test1331,it
test1332,fa
test1333,fr
test1334,en
test1335,ne
test1336,nl
test1337,en
test1338,en
test1339,unk
test1340,it
test1341,it
test1342,unk
test1343,bg
test1344,unk
test1345,it
test1346,unk
test1347,fa
test1348,ru
test1349,fa
test1350,ar
test1351,en
test1352,unk
test1353,nl
test1354,bg
test1355,fa
test1356,ru
test1357,fa
test1358,es
test1359,fa
test1360,it
test1361,ru
test1362,en
test1363,de
test1364,fr
test1365,hi
test1366,unk
test1367,bg
test1368,ja
test1369,fr
test1370,nl
test1371,fa
test1372,fr
test1373,unk
test1374,ja
test1375,de
test1376,unk
test1377,ar
test1378,bg
test1379,ja
test1380,unk
test1381,it
test1382,nl
test1383,es
test1384,nl
test1385,en
test1386,ru
test1387,ur
test1388,en
test1389,en
test1390,unk
test1391,ja
test1392,en
test1393,bg
test1394,mr
test1395,uk
test1396,uk
test1397,fa
test1398,unk
test1399,unk
test1400,nl
test1401,bg
test1402,unk
test1403,de
test1404,bg
test1405,unk
test1406,es
test1407,zh
test1408,ar
test1409,en
test1410,ru
test1411,it
test1412,unk
test1413,unk
test1414,it
test1415,unk
test1416,en
test1417,ja
test1418,fa
test1419,en
test1420,hi
test1421,en
test1422,th
test1423,hi
test1424,mr
test1425,it
test1426,unk
test1427,ja
test1428,uk
test1429,en
test1430,unk
test1431,en
test1432,bg
test1433,fa
test1434,hi
test1435,he
test1436,es
test1437,it
test1438,ru
test1439,unk
test1440,de
test1441,unk
test1442,mr
test1443,ru
test1444,bg
test1445,ur
test1446,he
test1447,es
test1448,en
test1449,nl
test1450,ja
test1451,unk
test1452,unk
test1453,en
test1454,ur
test1455,bg
test1456,de
test1457,de
test1458,ru
test1459,fa
test1460,de
test1461,he
test1462,en
test1463,ru
test1464,unk
test1465,uk
test1466,fa
test1467,he
test1468,en
test1469,en
test1470,en
test1471,unk
test1472,unk
test1473,th
test1474,unk
test1475,es
test1476,es
test1477,en
test1478,fa
test1479,ru
test1480,ur
test1481,unk
test1482,unk
test1483,hi
test1484,unk
test1485,ja
test1486,en
test1487,ja
test1488,unk
test1489,fr
test1490,unk
test1491,it
test1492,en
test1493,ru
test1494,nl
test1495,fr
test1496,ru
test1497,es
test1498,ne
test1499,en
test1500,he
test1501,de
test1502,nl
test1503,fa
test1504,de
test1505,it
test1506,en
test1507,de
test1508,ru
test1509,ne
test1510,nl
test1511,nl
test1512,ar
test1513,de
test1514,ru
test1515,unk
test1516,uk
test1517,nl
test1518,unk
test1519,en
test1520,unk
test1521,nl
test1522,hi
test1523,ru
test1524,it
test1525,fa
test1526,unk
test1527,unk
test1528,nl
test1529,hi
test1530,nl
test1531,es
test1532,en
test1533,ur
test1534,mr
test1535,unk
test1536,ja
test1537,de
test1538,ja
test1539,fa
test1540,fr
test1541,mr
test1542,ru
test1543,ru
test1544,en
test1545,nl
test1546,hi
test1547,fa
test1548,de
test1549,uk
test1550,en
test1551,fa
test1552,es
test1553,bg
test1554,es
test1555,it
test1556,it
test1557,ur
test1558,bg
test1559,es
test1560,en
test1561,en
test1562,unk
test1563,de
test1564,es
test1565,nl
test1566,unk
test1567,en
test1568,en
test1569,ru
test1570,fa
test1571,mr
test1572,mr
test1573,mr
test1574,th
test1575,en
test1576,zh
test1577,es
test1578,unk
test1579,fa
test1580,fr
test1581,en
test1582,de
test1583,ur
test1584,unk
test1585,unk
test1586,ne
test1587,fa
test1588,ko
test1589,bg
test1590,ar
test1591,hi
test1592,ur
test1593,en
test1594,mr
test1595,ru
test1596,unk
test1597,es
test1598,nl
test1599,nl
test1600,en
test1601,ru
test1602,fa
test1603,nl
test1604,he
test1605,it
test1606,es
test1607,de
test1608,ur
test1609,he
test1610,en
test1611,nl
test1612,ne
test1613,en
test1614,ur
test1615,nl
test1616,ru
test1617,fa
test1618,mr
test1619,de
test1620,ru
test1621,unk
test1622,es
test1623,ru
test1624,unk
test1625,nl
test1626,es
test1627,nl
test1628,unk
test1629,unk
test1630,en
test1631,en
test1632,unk
test1633,de
test1634,de
test1635,bg
test1636,de
test1637,bg
test1638,es
test1639,es
test1640,en
test1641,es
test1642,ne
test1643,nl
test1644,unk
test1645,de
test1646,ja
test1647,ru
test1648,unk
test1649,mr
test1650,nl
test1651,ru
test1652,hi
test1653,bg
test1654,unk
test1655,th
test1656,fr
test1657,it
test1658,nl
test1659,en
test1660,fr
test1661,en
test1662,unk
test1663,bg
test1664,nl
test1665,en
test1666,unk
test1667,unk
test1668,de
test1669,bg
test1670,unk
test1671,en
test1672,unk
test1673,bg
test1674,mr
test1675,fr
test1676,nl
test1677,fr
test1678,fa
test1679,bg
test1680,it
test1681,ru
test1682,unk
test1683,unk
test1684,unk
test1685,fa
test1686,th
test1687,ur
test1688,mr
test1689,unk
test1690,fa
test1691,fr
test1692,ru
test1693,fa
test1694,bg
test1695,unk
test1696,nl
test1697,bg
test1698,fa
test1699,uk
test1700,unk
test1701,nl
test1702,ja
test1703,unk
test1704,ru
test1705,en
test1706,ja
test1707,ar
test1708,nl
test1709,it
test1710,hi
test1711,fr
test1712,en
test1713,unk
test1714,ar
test1715,es
test1716,uk
test1717,mr
test1718,unk
test1719,en
test1720,unk
test1721,ur
test1722,es
test1723,ar
test1724,unk
test1725,nl
test1726,it
test1727,ru
test1728,unk
test1729,nl
test1730,ar
test1731,ja
test1732,hi
test1733,it
test1734,fr
test1735,fa
test1736,mr
test1737,ar
test1738,ne
test1739,unk
test1740,ur
test1741,hi
test1742,es
test1743,it
test1744,ru
test1745,en
test1746,de
test1747,he
test1748,nl
test1749,ja
test1750,it
test1751,en
test1752,en
test1753,unk
test1754,ja
test1755,ru
test1756,hi
test1757,nl
test1758,hi
test1759,nl
test1760,he
test1761,unk
test1762,fa
test1763,bg
test1764,fa
test1765,ne
test1766,es
test1767,th
test1768,ko
test1769,nl
test1770,unk
test1771,es
test1772,uk
test1773,hi
test1774,ja
test1775,fr
test1776,es
test1777,bg
test1778,it
test1779,fa
test1780,he
test1781,mr
test1782,unk
test1783,bg
test1784,unk
test1785,ur
test1786,de
test1787,fr
test1788,nl
test1789,nl
test1790,ar
test1791,mr
test1792,ja
test1793,nl
test1794,hi
test1795,en
test1796,ur
test1797,es
test1798,zh
test1799,unk
test1800,nl
test1801,es
test1802,bg
test1803,ne
test1804,ar
test1805,uk
test1806,de
test1807,zh
test1808,en
test1809,unk
test1810,unk
test1811,it
test1812,hi
test1813,nl
test1814,nl
test1815,de
test1816,es
test1817,unk
test1818,ja
test1819,ar
test1820,bg
test1821,en
test1822,ur
test1823,ko
test1824,ur
test1825,it
test1826,unk
test1827,it
test1828,unk
test1829,en
test1830,fr
test1831,ko
test1832,he
test1833,bg
test1834,de
test1835,de
test1836,it
test1837,it
test1838,he
test1839,ne
test1840,bg
test1841,nl
test1842,es
test1843,es
test1844,ne
test1845,unk
test1846,unk
test1847,es
test1848,fr
test1849,unk
test1850,mr
test1851,unk
test1852,fa
test1853,it
test1854,ne
test1855,unk
test1856,fr
test1857,bg
test1858,es
test1859,fr
test1860,fa
test1861,uk
test1862,nl
test1863,de
test1864,es
test1865,it
test1866,en
test1867,unk
test1868,unk
test1869,de
test1870,ur
test1871,ar
test1872,en
test1873,ru
test1874,bg
test1875,ja
test1876,fr
test1877,nl
test1878,ru
test1879,ur
test1880,it
test1881,en
test1882,unk
test1883,fa
test1884,en
test1885,nl
test1886,en
test1887,ar
test1888,fr
test1889,de
test1890,ru
test1891,unk
test1892,nl
test1893,ne
test1894,de
test1895,ar
test1896,unk
test1897,en
test1898,ru
test1899,bg
test1900,ko
test1901,ur
test1902,unk
test1903,ne
test1904,ja
test1905,en
test1906,fr
test1907,unk
test1908,unk
test1909,en
test1910,es
test1911,bg
test1912,bg
test1913,nl
test1914,fr
test1915,mr
test1916,ar
test1917,ru
test1918,th
test1919,de
test1920,ru
test1921,bg
test1922,fa
test1923,unk
test1924,unk
test1925,fr
test1926,mr
test1927,unk
test1928,unk
test1929,unk
test1930,ru
test1931,en
test1932,unk
test1933,de
test1934,unk
test1935,unk
test1936,en
test1937,ne
test1938,mr
test1939,uk
test1940,nl
test1941,en
test1942,ja
test1943,uk
test1944,en
test1945,en
test1946,es
test1947,mr
test1948,es
test1949,en
test1950,th
test1951,bg
test1952,ru
test1953,en
test1954,it
test1955,en
test1956,unk
test1957,es
test1958,mr
test1959,fr
test1960,es
test1961,ru
test1962,es
test1963,en
test1964,fr
test1965,en
test1966,ar
test1967,ur
test1968,ur
test1969,ru
test1970,es
test1971,de
test1972,ur
test1973,ar
test1974,en
test1975,ur
test1976,it
test1977,fr
test1978,fa
test1979,he
test1980,es
test1981,en
test1982,fr
test1983,ru
test1984,unk
test1985,es
test1986,he
test1987,hi
test1988,de
test1989,fa
test1990,mr
test1991,unk
test1992,es
test1993,ar
test1994,unk
test1995,es
test1996,de
test1997,unk
test1998,ja
test1999,he
test2000,ru
test2001,es
test2002,th
test2003,en
test2004,unk
test2005,unk
test2006,bg
test2007,de
test2008,ja
test2009,fr
test2010,fr
test2011,fa
test2012,en
test2013,fa
test2014,unk
test2015,nl
test2016,en
test2017,ar
test2018,en
test2019,fr
test2020,unk
test2021,unk
test2022,de
test2023,nl
test2024,it
test2025,th
test2026,fa
test2027,unk
test2028,ru
test2029,fa
test2030,fr
test2031,hi
test2032,unk
test2033,fr
test2034,zh
test2035,bg
test2036,bg
test2037,nl
test2038,nl
test2039,ne
test2040,mr
test2041,en
test2042,en
test2043,ne
test2044,es
test2045,nl
test2046,fa
test2047,de
test2048,es
test2049,unk
test2050,de
test2051,unk
test2052,nl
test2053,de
test2054,unk
test2055,en
test2056,hi
test2057,nl
test2058,de
test2059,en
test2060,es
test2061,ja
test2062,hi
test2063,es
test2064,nl
test2065,en
test2066,nl
test2067,fa
test2068,fr
test2069,en
test2070,fa
test2071,it
test2072,en
test2073,ne
test2074,de
test2075,it
test2076,fa
test2077,it
test2078,unk
test2079,es
test2080,bg
test2081,ru
test2082,mr
test2083,fr
test2084,hi
test2085,ru
test2086,ur
test2087,unk
test2088,zh
test2089,nl
test2090,ne
test2091,en
test2092,fa
test2093,it
test2094,bg
test2095,fa
